id_professore,nome,codice,dipartimento,laurea
1,ELEMENTI DI TEORIA DELLA COMPUTAZIONE,cod. 0512100018,DIPARTIMENTO DI INFORMATICA,CORSO DI LAUREA
1,METODI MATEMATICI PER L'INFORMATICA,cod. 0512100041,DIPARTIMENTO DI INFORMATICA,CORSO DI LAUREA
1,PROGRAMMAZIONE I,cod. 0512100005,DIPARTIMENTO DI INFORMATICA,CORSO DI LAUREA
1,STRUMENTI FORMALI PER LA BIOINFORMATICA,cod. 0522500145,DIPARTIMENTO DI INFORMATICA,CORSO DI LAUREA MAGISTRALE
2,"COMPUTATIONAL INTELLIGENCE & TECHNO-REGULATION. PARADIGMS, METHODS, TOOLS",cod. 8860100005,DIPARTIMENTO DI INFORMATICA,CORSO DI DOTTORATO (D.M.226/2021)
2,ELEMENTI DI TEORIA DELLA COMPUTAZIONE,cod. 0512100018,DIPARTIMENTO DI INFORMATICA,CORSO DI LAUREA
2,METODI MATEMATICI PER L'INFORMATICA,cod. 0512100041,DIPARTIMENTO DI INFORMATICA,CORSO DI LAUREA
2,MUSICA ALGORITMICA E SOUND COMPUTING,cod. 0522500150,DIPARTIMENTO DI INFORMATICA,CORSO DI LAUREA MAGISTRALE
2,STRUMENTI FORMALI PER LA BIOINFORMATICA,cod. 0522500145,DIPARTIMENTO DI INFORMATICA,CORSO DI LAUREA MAGISTRALE
3,HUMAN COMPUTER INTERACTION AND EXPERIENCE DESIGN IN THE INTERNET OF THINGS,cod. 0522500124,DIPARTIMENTO DI INFORMATICA,CORSO DI LAUREA MAGISTRALE
3,INTERAZIONE UOMO MACCHINA,cod. 0512100020,DIPARTIMENTO DI INFORMATICA,CORSO DI LAUREA
3,INTERAZIONE UOMO MACCHINA E USABILITÀ DEL SOFTWARE,cod. 0522500013,DIPARTIMENTO DI INFORMATICA,CORSO DI LAUREA MAGISTRALE
4,PROGETTAZIONE DI ALGORITMI,cod. 0512100043,DIPARTIMENTO DI INFORMATICA,CORSO DI LAUREA
4,TEORIA DELL'INFORMAZIONE,cod. 0522200052,DIPARTIMENTO DI MATEMATICA,CORSO DI LAUREA MAGISTRALE
4,TEORIA DELL'INFORMAZIONE,cod. 0522500148,DIPARTIMENTO DI INFORMATICA,CORSO DI LAUREA MAGISTRALE
5,GEOGRAPHICAL INFORMATION SYSTEMS,cod. 0522500086,DIPARTIMENTO DI INFORMATICA,CORSO DI LAUREA MAGISTRALE
5,PRINCIPI DI INFORMATICA,cod. 0512800019,"DIPARTIMENTO DI CHIMICA E BIOLOGIA ""ADOLFO ZAMBELLI""",CORSO DI LAUREA
5,PROGRAMMAZIONE & STRUTTURE DATI,cod. 0512100052,DIPARTIMENTO DI INFORMATICA,CORSO DI LAUREA
5,PROGRAMMAZIONE I,cod. 0512100005,DIPARTIMENTO DI INFORMATICA,CORSO DI LAUREA
6,ARTIFICIAL INTELLIGENCE,cod. 0522700006,DIPARTIMENTO DI INFORMATICA,CORSO DI LAUREA MAGISTRALE
6,BASI DI DATI,cod. 0512100008,DIPARTIMENTO DI INFORMATICA,CORSO DI LAUREA
6,BASI DI DATI II,cod. 0522500005,DIPARTIMENTO DI INFORMATICA,CORSO DI LAUREA MAGISTRALE
6,NATURAL LANGUAGE PROCESSING,cod. 0522500138,DIPARTIMENTO DI INFORMATICA,CORSO DI LAUREA MAGISTRALE
7,"PROGRAMMAZIONE CONCORRENTE, PARALLELA E SU CLOUD",cod. 0522500102,DIPARTIMENTO DI INFORMATICA,CORSO DI LAUREA MAGISTRALE
7,PROGRAMMAZIONE DISTRIBUITA,cod. 0512100021,DIPARTIMENTO DI INFORMATICA,CORSO DI LAUREA
8,BASI DI DATI,cod. 0512100008,DIPARTIMENTO DI INFORMATICA,CORSO DI LAUREA
8,GEOGRAPHICAL INFORMATION SYSTEMS,cod. 0522500086,DIPARTIMENTO DI INFORMATICA,CORSO DI LAUREA MAGISTRALE
8,INTELLIGENT WEB,cod. 0522500137,DIPARTIMENTO DI INFORMATICA,CORSO DI LAUREA MAGISTRALE
8,TECNOLOGIE PER LA GEOINFORMATICA,cod. 0512100062,DIPARTIMENTO DI INFORMATICA,CORSO DI LAUREA
9,ACCOMPAGNAMENTO AL LAVORO,cod. 0512100054,DIPARTIMENTO DI INFORMATICA,CORSO DI LAUREA
9,ALTRE CONOSCENZE UTILI PER L'INSERIMENTO NEL MONDO DEL LAVORO,cod. 0522500045,DIPARTIMENTO DI INFORMATICA,CORSO DI LAUREA MAGISTRALE
9,ARCHITETTURE DISTRIBUITE PER IL CLOUD,cod. 0522500107,DIPARTIMENTO DI INFORMATICA,CORSO DI LAUREA MAGISTRALE
9,FONDAMENTI DI CLOUD COMPUTING,cod. 0522700001,DIPARTIMENTO DI INFORMATICA,CORSO DI LAUREA MAGISTRALE
9,INTERNATIONAL SCHOOL ON IOT,cod. 0522500122,DIPARTIMENTO DI INFORMATICA,CORSO DI LAUREA MAGISTRALE
9,SERVERLESS COMPUTING FOR IOT,cod. 0522500120,DIPARTIMENTO DI INFORMATICA,CORSO DI LAUREA MAGISTRALE
10,EMBEDDED SYSTEMS,cod. 0522500126,DIPARTIMENTO DI INFORMATICA,CORSO DI LAUREA MAGISTRALE
10,LABORATORIO DI INFORMATICA,cod. 0512900009,"DIPARTIMENTO DI FISICA ""E.R. CAIANIELLO""",CORSO DI LAUREA
10,METODI PER IL TRATTAMENTO DELL'INFORMAZIONE,cod. 0512300029,DIPARTIMENTO DI MATEMATICA,CORSO DI LAUREA
10,TECNOLOGIE SOFTWARE PER IL WEB,cod. 0512100056,DIPARTIMENTO DI INFORMATICA,CORSO DI LAUREA
11,LABORATORIO DI INFORMATICA,cod. 0512900009,"DIPARTIMENTO DI FISICA ""E.R. CAIANIELLO""",CORSO DI LAUREA
11,PROGRAMMAZIONE I,cod. 0512100005,DIPARTIMENTO DI INFORMATICA,CORSO DI LAUREA
11,RICERCA INFERMIERISTICA E GESTIONE DELLE INFORMAZIONI,cod. 1012100031,"DIPARTIMENTO DI MEDICINA, CHIRURGIA E ODONTOIATRIA ""SCUOLA MEDICA SALERNITANA""",CORSO DI LAUREA
11,TECNOLOGIE SOFTWARE PER IL WEB,cod. 0512100056,DIPARTIMENTO DI INFORMATICA,CORSO DI LAUREA
12,METODI MATEMATICI PER L'INFORMATICA,cod. 0512100041,DIPARTIMENTO DI INFORMATICA,CORSO DI LAUREA
12,RETI SOCIALI,cod. 0522500072,DIPARTIMENTO DI INFORMATICA,CORSO DI LAUREA MAGISTRALE
12,SISTEMI OPERATIVI,cod. 0512100006,DIPARTIMENTO DI INFORMATICA,CORSO DI LAUREA
13,BASI DI DATI,cod. 0512100008,DIPARTIMENTO DI INFORMATICA,CORSO DI LAUREA
13,BIG DATA,cod. 0522700002,DIPARTIMENTO DI INFORMATICA,CORSO DI LAUREA MAGISTRALE
13,FONDAMENTI DI DATA SCIENCE E MACHINE LEARNING,cod. 0522500135,DIPARTIMENTO DI INFORMATICA,CORSO DI LAUREA MAGISTRALE
13,INTERNATIONAL SCHOOL ON IOT,cod. 0522500122,DIPARTIMENTO DI INFORMATICA,CORSO DI LAUREA MAGISTRALE
13,MACHINE LEARNING,cod. 0512100064,DIPARTIMENTO DI INFORMATICA,CORSO DI LAUREA
13,MINING AND PROFILING DATA STREAMS,cod. 8860100006,DIPARTIMENTO DI INFORMATICA,CORSO DI DOTTORATO (D.M.226/2021)
14,FONDAMENTI DI INTELLIGENZA ARTIFICIALE,cod. 0512100055,DIPARTIMENTO DI INFORMATICA,CORSO DI LAUREA
14,INGEGNERIA DEL SOFTWARE,cod. 0512100019,DIPARTIMENTO DI INFORMATICA,CORSO DI LAUREA
14,SCIENTIFIC WRITING AND PUBLISHING,cod. 8860100001,DIPARTIMENTO DI INFORMATICA,CORSO DI DOTTORATO (D.M.226/2021)
14,SOFTWARE ENGINEERING FOR ARTIFICIAL INTELLIGENCE,cod. 0522500139,DIPARTIMENTO DI INFORMATICA,CORSO DI LAUREA MAGISTRALE
15,CYBERSECURITY,cod. 0522500075,DIPARTIMENTO DI INFORMATICA,CORSO DI LAUREA MAGISTRALE
15,INTERNATIONAL SCHOOL ON IOT,cod. 0522500122,DIPARTIMENTO DI INFORMATICA,CORSO DI LAUREA MAGISTRALE
15,INTERNET OF THINGS,cod. 0522500144,DIPARTIMENTO DI INFORMATICA,CORSO DI LAUREA MAGISTRALE
15,RETI DI CALCOLATORI,cod. 0512100011,DIPARTIMENTO DI INFORMATICA,CORSO DI LAUREA
16,MATEMATICA DISCRETA,cod. 0512100040,DIPARTIMENTO DI INFORMATICA,CORSO DI LAUREA
17,SIMULAZIONE,cod. 0512100025,DIPARTIMENTO DI INFORMATICA,CORSO DI LAUREA
