id_professore,giorno,orario,luogo
1,Mercoledì,10:00 - 12:00,Null
1,Giovedì,15:00 - 16:00,Null
2,Martedì,10:00 - 12:00,Laboratorio di Computer Music
2,Giovedì,10:00 - 11:00,Laboratorio di Computer Music
3,Martedì,15:30 - 16:30,Null
3,Giovedì,12:30 - 14:30,Null
4,Lunedì,15:00 - 17:00,"Campus di Fisciano, Stecca 7, Piano Quarto, stanza 109"
4,Giovedì,15:00 - 17:00,"Campus di Fisciano, Stecca 7, Piano Quarto, stanza 109"
5,Lunedì,11:00 - 13:00,"Studio docente, FINV-12BP01077"
5,Martedì,12:00 - 13:00,"Studio docente, FINV-12BP01077"
6,Martedì,11:00 - 13:00,"Studio. Edificio F2. 1° piano, stanza 81"
6,Giovedì,10:00 - 11:00,"Studio. Edificio F2. 1° piano, stanza 81"
7,Lunedì,11:00 - 13:00,"Dipartimento di Informatica, Campus di Fisciano, stecca 7, 2 piano, ISISLab 2"
9,Giovedì,9:00 - 11:00,"Su piattaforma Microsoft Teams UNISA, contattarmi come utente vitsca@unisa.it"
9,Venerdì,11:00 - 12:00,"Su piattaforma Microsoft Teams UNISA, contattarmi come utente vitsca@unisa.it"
10,Lunedì,16:00 - 18:00,Drop me an email
10,Martedì,16:00 - 18:00,Drop me an email
11,Martedì,16:00 - 18:00,Via Teams
12,Martedì,15:00 - 17:00,meeting via Teams (canale Ricevimento del team Metodi Matematici per l'Informatica)
12,Mercoledì,16:00 - 17:00,meeting via Teams (canale Ricevimento del team Metodi Matematici per l'Informatica)
13,Martedì,15:30 - 17:00,"Online, Team ""Ricevimento Prof. Polese"" su Microsoft Teams"
13,Giovedì,15:30 - 17:00,"Online, Team ""Ricevimento Prof. Polese"" su Microsoft Teams"
14,Giovedì,14:00 - 17:00,Null
15,Lunedì,15:00 - 17:00,Stanza Docente o Laboratorio (o Canale Teams con prenotazione via e-mail)
15,Mercoledì,15:00 - 17:00,Stanza Docente o Laboratorio (o Canale Teams con prenotazione via e-mail)
17,Lunedì,9:00 - 11:00,"Campus di Fisciano, Invariante 12B, primo piano, stanza 91"
17,Mercoledì,9:00 - 11:00,"Campus di Fisciano, Invariante 12B, primo piano, stanza 91"
20,Lunedì,11:00 - 12:30,Null
20,Mercoledì,11:00 - 12:30,Null
22,Lunedì,15:00 - 16:00,"Stecca 7 - Piano 4°, Studio 43."
22,Mercoledì,15:00 - 17:00,"Stecca 7 - Piano 4°, Studio 43."
24,Mercoledì,13:00 - 15:00,stanza 278 blocco E
24,Giovedì,13:00 - 14:00,stanza 278 blocco E
25,Giovedì,11:00 - 13:00,"Edificio F2 - Primo Piano, Stanza 077"
25,Venerdì,9:00 - 11:00,"Edificio F2 - Primo Piano, Stanza 077"
26,Giovedì,17:30 - 18:30,Null
27,Lunedì,9:00 - 10:30,"Campus di Fisciano, Edificio F2, Piano Primo, stanza 091"
27,Martedì,9:00 - 10:30,"Campus di Fisciano, Edificio F2, Piano Primo, stanza 091"
28,Lunedì,15:00 - 16:00,Da concordare via email
28,Venerdì,15:00 - 16:00,Da concordare via email
30,Lunedì,13:30 - 15:30,"Campus di Fisciano, Invariante 12B, Piano Primo, stanza 084"
30,Giovedì,11:00 - 12:00,"Campus di Fisciano, Invariante 12B, Piano Primo, stanza 084"
31,Lunedì,-,- Microsoft teams codice corso: amhccqo
31,Martedì,15:00 - 16:30,piattaforma teams del corso
31,Venerdì,15:00 - 16:30,piattaforma teams del corso
33,Lunedì,11:00 - 13:00,Null
34,Martedì,11:30 - 13:30,Null
34,Venerdì,13:00 - 14:00,Null
36,Martedì,11:00 - 13:00,"Campus di Fisciano, Edificio F, Piano Quarto, stanza 018."
36,Giovedì,9:00 - 11:00,"Campus di Fisciano, Edificio F, Piano Quarto, stanza 018."
37,Mercoledì,13:00 - 14:30,Contattare via email
37,Giovedì,13:00 - 14:00,Contattare via email
38,Martedì,11:00 - 13:00,"Stanza L11. Ex sala del consiglio del Dipartimento di Informatica, vicino al laboratorio Alan Turing."
38,Mercoledì,14:00 - 16:00,"Stanza L11. Ex sala del consiglio del Dipartimento di Informatica, vicino al laboratorio Alan Turing."
39,Mercoledì,10:30 - 12:30,Laboratorio L8
39,Giovedì,11:00 - 13:00,Laboratorio 43
40,Martedì,11:00 - 12:00,Null
40,Giovedì,11:00 - 13:00,Null
41,Giovedì,16:00 - 18:00,"Ufficio del docente: Stecca 7, livello 4, ufficio 48."
41,Venerdì,15:00 - 17:00,"Ufficio del docente: Stecca 7, livello 4, ufficio 48."
42,Martedì,11:00 - 12:30,"studio 58, piano 4"
42,Giovedì,14:00 - 15:30,"studio 58, piano 4"
43,Giovedì,15:00 - 16:30,studio del docente
43,Venerdì,11:30 - 13:00,studio del docente
44,Martedì,8:30 - 10:30,"Stecca 8 - Piano Quarto, stanza 063"
45,Lunedì,11:00 - 12:30,"Edificio F2, primo piano, stanza 089"
45,Mercoledì,11:00 - 12:30,"Edificio F2, primo piano, stanza 089"
46,Martedì,13:30 - 15:30,Ufficio U.FSTEC-07.P04.093
47,Lunedì,14:30 - 16:30,Null
47,Mercoledì,16:00 - 17:00,Null
48,Lunedì,15:00 - 16:30,Null
48,Giovedì,10:30 - 12:00,Null
49,Lunedì,11:00 - 13:00,Null
49,Martedì,11:00 - 13:00,Null
50,Mercoledì,11:00 - 13:00,aulaF5-ufficio
50,Giovedì,15:30 - 16:30,aulaF5-ufficio
51,Giovedì,10:00 - 11:00,"Dipartimento di Informatica, Campus di Fisciano, stecca 7, 4 piano"
51,Venerdì,11:00 - 12:00,"Dipartimento di Informatica, Campus di Fisciano, stecca 7, 4 piano"
54,Giovedì,17:00 - 18:00,Per tutta la durata della cosiddetta fase 2 sarà possibile stabilire una connessione on-line attraverso la piattaforma MS Teams
54,Venerdì,16:00 - 18:00,Per tutta la durata della cosiddetta fase 2 sarà possibile stabilire una connessione on-line attraverso la piattaforma MS Teams
55,Mercoledì,15:00 - 18:00,Edificio F2 | Piano -1 | Laboratorio 12-06
56,Martedì,14:00 - 16:00,Stanza Docente o Laboratorio (o Teams con prenotazione via e-mail)
56,Giovedì,11:00 - 12:00,Stanza Docente o Laboratorio (o Teams con prenotazione via e-mail)
58,Martedì,17:00 - 18:00,"A distanza, Team Ricevimento - Dott.ssa Loredana Caruccio, Codice l5sjqez"
58,Mercoledì,16:00 - 18:00,"A distanza, Team Ricevimento - Dott.ssa Loredana Caruccio, Codice l5sjqez"
59,Martedì,11:00 - 13:00,Null
59,Giovedì,11:00 - 12:00,Null
60,Lunedì,9:00 - 11:00,Null
60,Martedì,9:00 - 11:00,Null
61,Mercoledì,11:00 - 12:00,"Edificio F2, Piano 1° Stanza 43 (Open Space)"
63,Giovedì,9:30 - 11:00,Null
63,Venerdì,9:30 - 11:00,Null
64,Martedì,15:30 - 17:00,Studio docente
64,Giovedì,15:30 - 17:00,Studio docente
65,Lunedì,10:00 - 11:00,"Laboratorio CGLab, FINV12BS01048"
65,Martedì,11:00 - 13:00,"Laboratorio CGLab, FINV12BS01048"
65,Giovedì,14:00 - 15:00,"Laboratorio CGLab, FINV12BS01048"
