id_professore,nome,codice,dipartimento,laurea
1,ELEMENTI DI TEORIA DELLA COMPUTAZIONE,cod. 0512100018,DIPARTIMENTO DI INFORMATICA,CORSO DI LAUREA
1,METODI MATEMATICI PER L'INFORMATICA,cod. 0512100041,DIPARTIMENTO DI INFORMATICA,CORSO DI LAUREA
1,PROGRAMMAZIONE I,cod. 0512100005,DIPARTIMENTO DI INFORMATICA,CORSO DI LAUREA
1,STRUMENTI FORMALI PER LA BIOINFORMATICA,cod. 0522500145,DIPARTIMENTO DI INFORMATICA,CORSO DI LAUREA MAGISTRALE
2,HUMAN COMPUTER INTERACTION AND EXPERIENCE DESIGN IN THE INTERNET OF THINGS,cod. 0522500124,DIPARTIMENTO DI INFORMATICA,CORSO DI LAUREA MAGISTRALE
2,INTERAZIONE UOMO MACCHINA,cod. 0512100020,DIPARTIMENTO DI INFORMATICA,CORSO DI LAUREA
2,INTERAZIONE UOMO MACCHINA E USABILITÀ DEL SOFTWARE,cod. 0522500013,DIPARTIMENTO DI INFORMATICA,CORSO DI LAUREA MAGISTRALE
3,PROGETTAZIONE DI ALGORITMI,cod. 0512100043,DIPARTIMENTO DI INFORMATICA,CORSO DI LAUREA
3,TEORIA DELL'INFORMAZIONE,cod. 0522200052,DIPARTIMENTO DI MATEMATICA,CORSO DI LAUREA MAGISTRALE
3,TEORIA DELL'INFORMAZIONE,cod. 0522500148,DIPARTIMENTO DI INFORMATICA,CORSO DI LAUREA MAGISTRALE
4,GEOGRAPHICAL INFORMATION SYSTEMS,cod. 0522500086,DIPARTIMENTO DI INFORMATICA,CORSO DI LAUREA MAGISTRALE
4,PRINCIPI DI INFORMATICA,cod. 0512800019,"DIPARTIMENTO DI CHIMICA E BIOLOGIA ""ADOLFO ZAMBELLI""",CORSO DI LAUREA
4,PROGRAMMAZIONE & STRUTTURE DATI,cod. 0512100052,DIPARTIMENTO DI INFORMATICA,CORSO DI LAUREA
4,PROGRAMMAZIONE I,cod. 0512100005,DIPARTIMENTO DI INFORMATICA,CORSO DI LAUREA
5,ARTIFICIAL INTELLIGENCE,cod. 0522700006,DIPARTIMENTO DI INFORMATICA,CORSO DI LAUREA MAGISTRALE
5,BASI DI DATI,cod. 0512100008,DIPARTIMENTO DI INFORMATICA,CORSO DI LAUREA
5,BASI DI DATI II,cod. 0522500005,DIPARTIMENTO DI INFORMATICA,CORSO DI LAUREA MAGISTRALE
5,NATURAL LANGUAGE PROCESSING,cod. 0522500138,DIPARTIMENTO DI INFORMATICA,CORSO DI LAUREA MAGISTRALE
6,"PROGRAMMAZIONE CONCORRENTE, PARALLELA E SU CLOUD",cod. 0522500102,DIPARTIMENTO DI INFORMATICA,CORSO DI LAUREA MAGISTRALE
6,PROGRAMMAZIONE DISTRIBUITA,cod. 0512100021,DIPARTIMENTO DI INFORMATICA,CORSO DI LAUREA
7,BASI DI DATI,cod. 0512100008,DIPARTIMENTO DI INFORMATICA,CORSO DI LAUREA
7,GEOGRAPHICAL INFORMATION SYSTEMS,cod. 0522500086,DIPARTIMENTO DI INFORMATICA,CORSO DI LAUREA MAGISTRALE
7,INTELLIGENT WEB,cod. 0522500137,DIPARTIMENTO DI INFORMATICA,CORSO DI LAUREA MAGISTRALE
7,TECNOLOGIE PER LA GEOINFORMATICA,cod. 0512100062,DIPARTIMENTO DI INFORMATICA,CORSO DI LAUREA
8,ACCOMPAGNAMENTO AL LAVORO,cod. 0512100054,DIPARTIMENTO DI INFORMATICA,CORSO DI LAUREA
8,ALTRE CONOSCENZE UTILI PER L'INSERIMENTO NEL MONDO DEL LAVORO,cod. 0522500045,DIPARTIMENTO DI INFORMATICA,CORSO DI LAUREA MAGISTRALE
8,ARCHITETTURE DISTRIBUITE PER IL CLOUD,cod. 0522500107,DIPARTIMENTO DI INFORMATICA,CORSO DI LAUREA MAGISTRALE
8,FONDAMENTI DI CLOUD COMPUTING,cod. 0522700001,DIPARTIMENTO DI INFORMATICA,CORSO DI LAUREA MAGISTRALE
8,INTERNATIONAL SCHOOL ON IOT,cod. 0522500122,DIPARTIMENTO DI INFORMATICA,CORSO DI LAUREA MAGISTRALE
8,SERVERLESS COMPUTING FOR IOT,cod. 0522500120,DIPARTIMENTO DI INFORMATICA,CORSO DI LAUREA MAGISTRALE
9,EMBEDDED SYSTEMS,cod. 0522500126,DIPARTIMENTO DI INFORMATICA,CORSO DI LAUREA MAGISTRALE
9,LABORATORIO DI INFORMATICA,cod. 0512900009,"DIPARTIMENTO DI FISICA ""E.R. CAIANIELLO""",CORSO DI LAUREA
9,METODI PER IL TRATTAMENTO DELL'INFORMAZIONE,cod. 0512300029,DIPARTIMENTO DI MATEMATICA,CORSO DI LAUREA
9,TECNOLOGIE SOFTWARE PER IL WEB,cod. 0512100056,DIPARTIMENTO DI INFORMATICA,CORSO DI LAUREA
10,LABORATORIO DI INFORMATICA,cod. 0512900009,"DIPARTIMENTO DI FISICA ""E.R. CAIANIELLO""",CORSO DI LAUREA
10,PROGRAMMAZIONE I,cod. 0512100005,DIPARTIMENTO DI INFORMATICA,CORSO DI LAUREA
10,RICERCA INFERMIERISTICA E GESTIONE DELLE INFORMAZIONI,cod. 1012100031,"DIPARTIMENTO DI MEDICINA, CHIRURGIA E ODONTOIATRIA ""SCUOLA MEDICA SALERNITANA""",CORSO DI LAUREA
10,TECNOLOGIE SOFTWARE PER IL WEB,cod. 0512100056,DIPARTIMENTO DI INFORMATICA,CORSO DI LAUREA
11,METODI MATEMATICI PER L'INFORMATICA,cod. 0512100041,DIPARTIMENTO DI INFORMATICA,CORSO DI LAUREA
11,RETI SOCIALI,cod. 0522500072,DIPARTIMENTO DI INFORMATICA,CORSO DI LAUREA MAGISTRALE
11,SISTEMI OPERATIVI,cod. 0512100006,DIPARTIMENTO DI INFORMATICA,CORSO DI LAUREA
12,BASI DI DATI,cod. 0512100008,DIPARTIMENTO DI INFORMATICA,CORSO DI LAUREA
12,BIG DATA,cod. 0522700002,DIPARTIMENTO DI INFORMATICA,CORSO DI LAUREA MAGISTRALE
12,FONDAMENTI DI DATA SCIENCE E MACHINE LEARNING,cod. 0522500135,DIPARTIMENTO DI INFORMATICA,CORSO DI LAUREA MAGISTRALE
12,INTERNATIONAL SCHOOL ON IOT,cod. 0522500122,DIPARTIMENTO DI INFORMATICA,CORSO DI LAUREA MAGISTRALE
12,MACHINE LEARNING,cod. 0512100064,DIPARTIMENTO DI INFORMATICA,CORSO DI LAUREA
12,MINING AND PROFILING DATA STREAMS,cod. 8860100006,DIPARTIMENTO DI INFORMATICA,CORSO DI DOTTORATO (D.M.226/2021)
13,FONDAMENTI DI INTELLIGENZA ARTIFICIALE,cod. 0512100055,DIPARTIMENTO DI INFORMATICA,CORSO DI LAUREA
13,INGEGNERIA DEL SOFTWARE,cod. 0512100019,DIPARTIMENTO DI INFORMATICA,CORSO DI LAUREA
13,SCIENTIFIC WRITING AND PUBLISHING,cod. 8860100001,DIPARTIMENTO DI INFORMATICA,CORSO DI DOTTORATO (D.M.226/2021)
13,SOFTWARE ENGINEERING FOR ARTIFICIAL INTELLIGENCE,cod. 0522500139,DIPARTIMENTO DI INFORMATICA,CORSO DI LAUREA MAGISTRALE
14,CYBERSECURITY,cod. 0522500075,DIPARTIMENTO DI INFORMATICA,CORSO DI LAUREA MAGISTRALE
14,INTERNATIONAL SCHOOL ON IOT,cod. 0522500122,DIPARTIMENTO DI INFORMATICA,CORSO DI LAUREA MAGISTRALE
14,INTERNET OF THINGS,cod. 0522500144,DIPARTIMENTO DI INFORMATICA,CORSO DI LAUREA MAGISTRALE
14,RETI DI CALCOLATORI,cod. 0512100011,DIPARTIMENTO DI INFORMATICA,CORSO DI LAUREA
15,MATEMATICA DISCRETA,cod. 0512100040,DIPARTIMENTO DI INFORMATICA,CORSO DI LAUREA
16,SIMULAZIONE,cod. 0512100025,DIPARTIMENTO DI INFORMATICA,CORSO DI LAUREA
17,CONTEXT AWARE SECURITY ANALYTICS IN COMPUTER VISION,cod. 0522500118,DIPARTIMENTO DI INFORMATICA,CORSO DI LAUREA MAGISTRALE
17,PROGRAMMAZIONE & STRUTTURE DATI,cod. 0512100052,DIPARTIMENTO DI INFORMATICA,CORSO DI LAUREA
17,PROGRAMMAZIONE I,cod. 0512100005,DIPARTIMENTO DI INFORMATICA,CORSO DI LAUREA
17,SCIENTIFIC WRITING AND PUBLISHING,cod. 8860100001,DIPARTIMENTO DI INFORMATICA,CORSO DI DOTTORATO (D.M.226/2021)
18,CONTEXT AWARE SECURITY ANALYTICS IN COMPUTER VISION,cod. 0522500118,DIPARTIMENTO DI INFORMATICA,CORSO DI LAUREA MAGISTRALE
18,FONDAMENTI DI VISIONE ARTIFICIALE E BIOMETRIA,cod. 0522500084,DIPARTIMENTO DI INFORMATICA,CORSO DI LAUREA MAGISTRALE
